OrderID,OrderDate,Year,Month,CustomerID,Gender,AgeGroup,Region,Country,CustomerType,Product,Category,UnitsPurchased,UnitPrice,Revenue,Discount,Profit,PaymentMethod,Revenue,Profit,UnitsPurchased,,,
50001,2023-10-31,2023,October,CUST1467,Male,36-45,West,Canada,Loyal,T-shirt,Accessories,5,29848,149240,2995,35758,PayPal,149240,35758,5,,,
50002,2023-02-12,2023,February,CUST1086,Male,36-45,North,UK,Returning,Headphones,Fashion,5,13907,69535,1798,9127,PayPal,69535,9127,5,,,
50003,2022-05-06,2022,May,CUST1373,Male,18-25,North,Germany,Returning,Headphones,Home,4,43301,173204,3689,50169,Credit Card,173204,50169,4,,,
50004,2022-09-25,2022,September,CUST1086,Male,26-35,West,Australia,New,Smartwatch,Fashion,3,15747,47241,1665,11543,Credit Card,47241,11543,3,,,
50005,2024-07-23,2024,July,CUST1176,Female,18-25,West,USA,New,Smartwatch,Home,3,9057,27171,2782,6111,Debit Card,27171,6111,3,,,
50006,2024-04-01,2024,April,CUST1226,Male,46-60,South,India,New,Headphones,Home,3,14181,42543,650,7114,UPI,42543,7114,3,,,
50007,2023-06-30,2023,June,CUST1482,Male,18-25,South,USA,New,Smartphone,Fashion,5,37794,188970,480,49474,Debit Card,188970,49474,5,,,
50008,2023-10-11,2023,October,CUST1301,Male,26-35,South,Germany,Returning,Laptop,Home,2,59414,118828,119,16260,Debit Card,118828,16260,2,,,
50009,2023-09-20,2023,September,CUST1217,Male,18-25,North,UK,Returning,Shoes,Home,3,10493,31479,2484,7725,PayPal,31479,7725,3,,,
50010,2024-05-15,2024,May,CUST1159,Female,26-35,North,UK,Loyal,Coffee Maker,Home,2,11420,22840,2239,4746,Credit Card,22840,4746,2,,,
50011,2024-02-10,2024,February,CUST1081,Male,18-25,South,USA,Returning,Laptop,Home,5,10183,50915,3816,13454,PayPal,50915,13454,5,,,
50012,2022-04-14,2022,April,CUST1369,Female,36-45,North,Australia,Loyal,Backpack,Accessories,5,56322,281610,67,67519,UPI,281610,67519,5,,,
50013,2024-05-21,2024,May,CUST1160,Female,36-45,South,India,Returning,Tablet,Electronics,2,44842,89684,1290,19005,Debit Card,89684,19005,2,,,
50014,2022-07-23,2022,July,CUST1348,Male,26-35,South,India,Returning,Shoes,Home,5,32074,160370,3695,43860,Debit Card,160370,43860,5,,,
50015,2023-11-05,2023,November,CUST1292,Male,18-25,West,Germany,Loyal,Headphones,Fashion,5,45288,226440,1497,46155,UPI,226440,46155,5,,,
50016,2023-04-06,2023,April,CUST1088,Male,46-60,North,UK,Returning,Laptop,Electronics,3,41915,125745,2876,21126,UPI,125745,21126,3,,,
50017,2022-08-24,2022,August,CUST1197,Female,18-25,South,USA,Loyal,Laptop,Fashion,3,2561,7683,3557,1082,PayPal,7683,1082,3,,,
50018,2023-11-20,2023,November,CUST1066,Male,46-60,East,Australia,New,Smartphone,Electronics,4,14742,58968,2040,9679,Credit Card,58968,9679,4,,,
50019,2022-08-31,2022,August,CUST1443,Female,46-60,South,India,New,Smartwatch,Fashion,3,58592,175776,1080,46780,Credit Card,175776,46780,3,,,
50020,2023-02-08,2023,February,CUST1266,Male,36-45,East,UK,New,T-shirt,Accessories,5,16004,80020,157,16042,PayPal,80020,16042,5,,,
50021,2024-02-09,2024,February,CUST1181,Female,36-45,North,Germany,New,Shoes,Electronics,2,55473,110946,3412,28233,Debit Card,110946,28233,2,,,
50022,2022-10-07,2022,October,CUST1316,Female,46-60,North,Australia,Returning,Smartphone,Accessories,5,6341,31705,3794,8310,Credit Card,31705,8310,5,,,
50023,2023-08-16,2023,August,CUST1291,Male,36-45,West,Canada,New,Headphones,Fashion,5,45338,226690,2028,64654,Credit Card,226690,64654,5,,,
50024,2022-10-17,2022,October,CUST1420,Male,46-60,South,UK,Returning,Shoes,Fashion,5,25889,129445,1801,15770,Credit Card,129445,15770,5,,,
50025,2024-05-26,2024,May,CUST1186,Female,46-60,East,Canada,Loyal,Tablet,Fashion,4,59456,237824,1531,41606,Net Banking,237824,41606,4,,,
50026,2024-04-18,2024,April,CUST1181,Male,46-60,North,Germany,New,Laptop,Accessories,3,27792,83376,1160,14481,PayPal,83376,14481,3,,,
50027,2023-09-06,2023,September,CUST1373,Female,26-35,South,Australia,Returning,T-shirt,Electronics,4,22356,89424,2685,9792,Net Banking,89424,9792,4,,,
50028,2023-01-29,2023,January,CUST1104,Female,26-35,East,Canada,Loyal,Coffee Maker,Accessories,1,3566,3566,3232,52,Credit Card,3566,52,1,,,
50029,2024-01-28,2024,January,CUST1333,Male,36-45,East,India,Loyal,Smartwatch,Electronics,2,53595,107190,1313,19496,Net Banking,107190,19496,2,,,
50030,2023-08-16,2023,August,CUST1281,Female,18-25,North,UK,Loyal,Shoes,Accessories,3,2574,7722,155,866,Net Banking,7722,866,3,,,
50031,2024-08-03,2024,August,CUST1335,Male,36-45,South,UK,Loyal,Headphones,Electronics,4,17610,70440,2304,16652,Net Banking,70440,16652,4,,,
50032,2023-03-22,2023,March,CUST1301,Female,26-35,South,UK,Returning,Laptop,Electronics,1,46262,46262,2474,7401,UPI,46262,7401,1,,,
50033,2023-06-18,2023,June,CUST1123,Female,36-45,East,India,New,Coffee Maker,Electronics,4,15453,61812,2036,15107,Net Banking,61812,15107,4,,,
50034,2022-09-25,2022,September,CUST1119,Female,18-25,South,Australia,Returning,Smartphone,Fashion,1,22124,22124,2965,3641,UPI,22124,3641,1,,,
50035,2023-12-27,2023,December,CUST1474,Female,46-60,East,Germany,Returning,Headphones,Electronics,1,12937,12937,2282,1132,PayPal,12937,1132,1,,,
50036,2022-10-06,2022,October,CUST1033,Female,18-25,West,Australia,Returning,Backpack,Home,2,19095,38190,1520,7806,Debit Card,38190,7806,2,,,
50037,2022-03-11,2022,March,CUST1106,Female,26-35,East,Canada,Returning,T-shirt,Home,3,27619,82857,2351,18162,UPI,82857,18162,3,,,
50038,2022-10-23,2022,October,CUST1307,Male,18-25,South,Germany,Loyal,Smartwatch,Accessories,5,29339,146695,1645,14855,PayPal,146695,14855,5,,,
50039,2022-06-13,2022,June,CUST1243,Male,18-25,North,Canada,Returning,Laptop,Fashion,3,27648,82944,317,19514,Net Banking,82944,19514,3,,,
50040,2022-05-09,2022,May,CUST1134,Female,26-35,East,Australia,Returning,Backpack,Accessories,2,19346,38692,1702,10481,Net Banking,38692,10481,2,,,
50041,2022-10-29,2022,October,CUST1251,Male,26-35,South,USA,Loyal,Headphones,Accessories,2,45305,90610,625,23083,Net Banking,90610,23083,2,,,
50042,2022-11-07,2022,November,CUST1393,Male,46-60,West,UK,Loyal,Shoes,Electronics,1,1158,1158,1267,-28,UPI,1158,-28,1,,,
50043,2024-05-03,2024,May,CUST1203,Male,18-25,North,Germany,Loyal,Laptop,Electronics,5,21267,106335,2213,24786,PayPal,106335,24786,5,,,
50044,2022-04-28,2022,April,CUST1310,Male,18-25,North,Australia,New,Shoes,Electronics,3,47537,142611,1077,15646,PayPal,142611,15646,3,,,
50045,2023-02-22,2023,February,CUST1108,Male,36-45,North,Australia,Loyal,Backpack,Electronics,4,30262,121048,3626,22568,UPI,121048,22568,4,,,
50046,2024-03-21,2024,March,CUST1187,Male,46-60,East,USA,New,Headphones,Home,4,57051,228204,3560,63010,UPI,228204,63010,4,,,
50047,2023-04-20,2023,April,CUST1069,Male,18-25,West,USA,New,Laptop,Accessories,1,54238,54238,2323,6713,Credit Card,54238,6713,1,,,
50048,2022-10-19,2022,October,CUST1340,Male,18-25,North,Canada,New,Coffee Maker,Fashion,4,33072,132288,3143,15992,UPI,132288,15992,4,,,
50049,2022-07-12,2022,July,CUST1000,Male,18-25,West,Germany,Returning,Shoes,Accessories,1,50829,50829,13,13943,Net Banking,50829,13943,1,,,
50050,2023-06-16,2023,June,CUST1012,Female,18-25,West,India,Returning,Coffee Maker,Home,1,11526,11526,2078,2654,Net Banking,11526,2654,1,,,
50051,2024-02-09,2024,February,CUST1431,Female,36-45,North,Australia,Returning,Tablet,Fashion,1,52432,52432,3229,14573,Debit Card,52432,14573,1,,,
50052,2022-09-18,2022,September,CUST1172,Male,36-45,North,India,Returning,Backpack,Fashion,5,19346,96730,3688,24400,Net Banking,96730,24400,5,,,
50053,2023-11-20,2023,November,CUST1214,Male,26-35,South,Australia,Returning,Coffee Maker,Fashion,2,27554,55108,3905,8318,PayPal,55108,8318,2,,,
50054,2024-03-18,2024,March,CUST1192,Female,18-25,East,Germany,Returning,Smartphone,Electronics,3,25413,76239,2112,14091,PayPal,76239,14091,3,,,
50055,2022-07-09,2022,July,CUST1499,Male,18-25,West,Australia,Loyal,Coffee Maker,Accessories,3,18900,56700,2381,8919,Debit Card,56700,8919,3,,,
50056,2022-02-24,2022,February,CUST1407,Male,46-60,West,Australia,Loyal,Laptop,Fashion,5,10865,54325,3160,12696,Credit Card,54325,12696,5,,,
50057,2023-01-13,2023,January,CUST1145,Male,46-60,North,Canada,Returning,Headphones,Electronics,1,47278,47278,371,7790,Debit Card,47278,7790,1,,,
50058,2022-05-12,2022,May,CUST1463,Female,36-45,South,UK,New,Smartwatch,Accessories,3,33787,101361,1944,16096,Net Banking,101361,16096,3,,,
50059,2023-02-09,2023,February,CUST1361,Male,36-45,South,Australia,New,Laptop,Fashion,1,13822,13822,332,2287,Debit Card,13822,2287,1,,,
50060,2023-08-24,2023,August,CUST1060,Female,18-25,South,Australia,Loyal,Backpack,Home,4,3412,13648,64,2018,Debit Card,13648,2018,4,,,
50061,2023-05-10,2023,May,CUST1434,Male,46-60,South,USA,New,Smartwatch,Home,2,54973,109946,969,26929,Net Banking,109946,26929,2,,,
50062,2024-06-23,2024,June,CUST1469,Female,18-25,West,UK,Loyal,Backpack,Electronics,4,13095,52380,1269,9829,UPI,52380,9829,4,,,
50063,2024-06-29,2024,June,CUST1489,Male,36-45,East,USA,New,Smartphone,Electronics,2,51878,103756,3085,26692,PayPal,103756,26692,2,,,
50064,2022-06-29,2022,June,CUST1294,Female,18-25,North,Australia,Loyal,Smartwatch,Fashion,2,40692,81384,316,19190,Net Banking,81384,19190,2,,,
50065,2024-04-06,2024,April,CUST1401,Female,18-25,North,UK,New,Coffee Maker,Fashion,3,55922,167766,2342,21897,Net Banking,167766,21897,3,,,
50066,2022-09-22,2022,September,CUST1458,Male,46-60,West,USA,Loyal,Tablet,Home,4,53374,213496,3102,51176,Debit Card,213496,51176,4,,,
50067,2023-08-25,2023,August,CUST1037,Female,36-45,South,Germany,Loyal,Coffee Maker,Home,2,57155,114310,2124,30977,Debit Card,114310,30977,2,,,
50068,2023-06-21,2023,June,CUST1475,Male,18-25,North,Germany,Returning,Laptop,Electronics,3,39691,119073,360,26803,UPI,119073,26803,3,,,
50069,2023-07-25,2023,July,CUST1468,Male,18-25,South,Australia,New,Laptop,Fashion,2,29563,59126,3368,8777,UPI,59126,8777,2,,,
50070,2024-04-20,2024,April,CUST1373,Male,36-45,North,USA,Returning,Headphones,Home,1,19184,19184,1577,3022,UPI,19184,3022,1,,,
50071,2023-12-02,2023,December,CUST1116,Female,36-45,East,India,Loyal,T-shirt,Fashion,2,9329,18658,3979,1818,UPI,18658,1818,2,,,
50072,2023-08-26,2023,August,CUST1422,Male,18-25,South,Australia,Loyal,T-shirt,Accessories,1,39088,39088,954,9382,UPI,39088,9382,1,,,
50073,2023-06-09,2023,June,CUST1212,Male,46-60,West,Canada,Returning,Headphones,Home,4,15751,63004,636,8591,Debit Card,63004,8591,4,,,
50074,2024-07-17,2024,July,CUST1323,Male,36-45,West,Australia,New,Smartphone,Accessories,4,35166,140664,2220,38316,Debit Card,140664,38316,4,,,
50075,2024-09-20,2024,September,CUST1292,Female,36-45,East,Germany,New,Coffee Maker,Fashion,5,55189,275945,569,36805,Credit Card,275945,36805,5,,,
50076,2022-07-02,2022,July,CUST1381,Male,18-25,North,India,New,Shoes,Electronics,4,32321,129284,2352,16345,UPI,129284,16345,4,,,
50077,2022-06-23,2022,June,CUST1431,Male,26-35,South,India,Loyal,Backpack,Accessories,2,33027,66054,675,11019,Credit Card,66054,11019,2,,,
